symbol,side,entry_date,exit_date,entry_z,exit_z,beta,corr,hold_bars,pair_ret,exit_reason
RELIANCE,SHORT_PAIR,2021-11-26,2021-12-03,2.1885921297964415,0.3657812603135828,0.13324143470331856,0.8801143497879177,5,0.003135466649104528,mean_revert
RELIANCE,LONG_PAIR,2022-01-10,2022-01-17,-2.3109722277632367,-0.4765061018977741,0.09281230170865072,0.8841022774872482,5,0.04529083498214311,mean_revert
RELIANCE,LONG_PAIR,2022-02-02,2022-02-14,-2.1996699886369173,0.07357864647880827,0.06426439930088235,0.8394885714609617,8,-0.01549211982544582,mean_revert
RELIANCE,SHORT_PAIR,2022-03-02,2022-03-07,2.7851113575960174,0.1943292064516943,0.055891605397738416,0.8479397572006756,3,0.06378993634145566,mean_revert
RELIANCE,SHORT_PAIR,2022-03-17,2022-04-19,2.032805304409127,2.4562882237440964,0.04403194524323536,0.8012779301695351,20,-0.06494572064106519,time
RELIANCE,LONG_PAIR,2022-09-26,2022-10-25,-2.5011850857546976,-1.9523832645245354,0.045948680014360845,0.806452120261618,20,0.025276586664520352,time
RELIANCE,LONG_PAIR,2022-10-27,2022-11-25,-2.017040811550702,-0.717121328300894,0.11021016795820716,0.7632058909953551,20,0.0630865018862841,time
RELIANCE,LONG_PAIR,2023-01-13,2023-02-13,-2.0239895061350306,-1.360756316791994,0.09066311473834925,0.9016520462805538,20,-0.05752006387628457,time
RELIANCE,LONG_PAIR,2023-06-02,2023-06-13,-2.1050607001113173,-0.06794542539251457,0.07629857090556685,0.9711100652787333,7,0.025989816510254303,mean_revert
RELIANCE,LONG_PAIR,2023-06-27,2023-07-03,-2.246290263583933,-0.10447601497648959,0.07512368759289663,0.9655295590379896,3,0.04575121859424629,mean_revert
RELIANCE,SHORT_PAIR,2023-07-10,2023-07-11,4.365777934569646,3.953068851152655,0.07203514790236648,0.9470362396633127,1,-0.010529954593589437,stop
RELIANCE,SHORT_PAIR,2023-07-12,2023-07-21,3.5610807227247134,-0.13389625885816495,0.07925130402766674,0.9282434634582747,7,0.007691801264281816,mean_revert
RELIANCE,SHORT_PAIR,2023-08-14,2023-08-24,2.4358385967977267,0.1776953959725398,0.10583744324918849,0.9410784674269294,7,0.034152142294610006,mean_revert
RELIANCE,LONG_PAIR,2023-09-07,2023-10-09,-2.0132313318157418,-1.996660195074854,0.10098683460080791,0.7962984805421581,20,-0.05389686911279681,time
RELIANCE,LONG_PAIR,2023-12-04,2023-12-15,-2.0476352815278216,-0.31594268192580377,0.06396583554353745,0.7946387424623665,9,0.028774052772809255,mean_revert
RELIANCE,SHORT_PAIR,2023-12-19,2024-01-11,2.355584593488551,3.9987222144119032,0.04633787160565843,0.946682609266104,16,-0.06279179954664171,stop
RELIANCE,SHORT_PAIR,2024-01-12,2024-01-29,3.223734744570675,3.7488930508259957,0.06061977497524481,0.9523637689417486,9,-0.056846441533861425,stop
RELIANCE,SHORT_PAIR,2024-01-30,2024-02-27,2.7304761530051818,0.3401595836716951,0.07242279992362756,0.8817565905431801,20,-0.053154760574012166,mean_revert
RELIANCE,SHORT_PAIR,2024-07-08,2024-07-16,2.149311578155214,-0.04122603447477407,0.054523328695993474,0.8203884778220372,6,0.016053322554379666,mean_revert
RELIANCE,LONG_PAIR,2024-07-22,2024-08-20,-2.706392621975706,-0.8233031837595406,0.06646980375374802,0.9162646404497469,20,-0.0002794924041603866,time
RELIANCE,LONG_PAIR,2024-12-09,2025-01-07,-2.390902031719502,-0.11208269639502,0.10437094841273527,0.9561253273682067,20,-0.03806318224404777,mean_revert
RELIANCE,SHORT_PAIR,2025-04-28,2025-04-29,2.8105078089173783,3.5438842402236848,0.05722191882340966,0.8687435061621449,1,-0.022556862186437678,stop
RELIANCE,SHORT_PAIR,2025-04-30,2025-05-19,3.1691799377537917,0.47256160760249,0.06597594227557158,0.8647960583520573,12,-0.02382321616086945,mean_revert
RELIANCE,LONG_PAIR,2025-07-21,2025-08-01,-2.2177492997022075,-0.0206065256505233,0.09923183440952411,0.9099902135876275,9,-0.022351800913744908,mean_revert
RELIANCE,LONG_PAIR,2025-08-18,2025-08-28,-2.075675599688119,0.7691572814505048,0.13391231804582662,0.903539618639877,7,0.005064084298429033,mean_revert
RELIANCE,LONG_PAIR,2025-09-10,2025-09-26,-2.2844770274069512,0.03502073472669047,0.1477544924655588,0.9059699836661319,12,0.0023195979285355432,mean_revert
RELIANCE,SHORT_PAIR,2025-10-27,2025-11-25,2.282540176689449,1.9044601271189037,0.05358374952333829,0.7702595485257324,20,-0.037631455538974797,time
RELIANCE,LONG_PAIR,2026-01-19,2026-01-21,-2.0772957303960307,0.01335147190489046,0.1501111373305916,0.7477624393628169,2,-0.0038555715785077893,mean_revert
RELIANCE,LONG_PAIR,2026-02-03,2026-02-24,-2.052162638177745,0.31209178419822037,0.1728322933091308,0.9160580689590132,15,-0.003740641671218528,mean_revert
RELIANCE,SHORT_PAIR,2026-03-04,2026-03-27,2.2136705847064766,-0.2765655922754213,0.1620382635848844,0.8783940785306514,16,-0.013298427270916307,mean_revert
TCS,SHORT_PAIR,2022-03-08,2022-03-11,2.5684492847551446,0.1394709298337272,0.19313051692355235,0.8858482943347292,3,0.007663629493337167,mean_revert
TCS,LONG_PAIR,2022-04-04,2022-05-05,-2.080294223706542,-0.9100476301989777,0.17643386958657034,0.8973925433673113,20,-0.054753873758254516,time
TCS,LONG_PAIR,2022-05-19,2022-06-03,-2.074786290820089,-0.2939529676491586,0.15156654022835134,0.8377642457603631,11,0.05430482974767988,mean_revert
TCS,LONG_PAIR,2022-07-11,2022-07-29,-3.556402392792763,-0.25891894659113546,0.17604544534125272,0.8602260023904212,14,0.05297806227702645,mean_revert
TCS,LONG_PAIR,2022-12-19,2022-12-21,-2.7449629270009304,-0.20759299626063443,0.19239978219152085,0.9471664164418041,2,0.02308005417527561,mean_revert
TCS,SHORT_PAIR,2023-01-11,2023-02-09,2.7214915458834223,2.202525117660349,0.1902388616429134,0.8627289448299352,20,-0.08793664120133747,time
TCS,LONG_PAIR,2023-04-13,2023-05-15,-2.5502789606642673,-0.7740356955434805,0.25140653490498166,0.7614078606310185,20,0.01270970061593373,time
TCS,LONG_PAIR,2023-06-16,2023-06-21,-2.3654848126464247,-0.20754354772962377,0.08236683064173182,0.771754839649547,3,0.026101959180084188,mean_revert
TCS,SHORT_PAIR,2023-07-17,2023-07-21,2.8775792772258706,-0.13310188405026244,0.08802000707617635,0.70594336169113,4,0.03298225656146015,mean_revert
TCS,SHORT_PAIR,2023-09-21,2023-10-12,2.1944720716103645,0.44792318904230255,0.2572091912588872,0.808336066248743,14,0.01259650732680294,mean_revert
TCS,SHORT_PAIR,2024-01-17,2024-01-29,2.028975139437877,0.08258075688187837,0.1552914963318287,0.9491176610659279,6,0.015896746228526756,mean_revert
TCS,SHORT_PAIR,2024-02-05,2024-02-20,2.1013923488281403,0.1452668929993338,0.1806851758738143,0.9113668881567549,11,-0.010904747134604705,mean_revert
TCS,SHORT_PAIR,2024-07-26,2024-08-26,2.095564478962633,0.8838915157064428,0.13022116488157431,0.7017830631227382,20,-0.02519612280796903,time
TCS,LONG_PAIR,2024-09-18,2024-10-17,-2.024158896680485,-1.7074212493143612,0.38507971111118855,0.8350739078747045,20,-0.04504070390709125,time
TCS,LONG_PAIR,2025-02-19,2025-03-21,-2.3381005356913453,-2.602221691643528,0.17899903851982157,0.7806458705880394,20,-0.05769701582740284,time
TCS,LONG_PAIR,2025-03-24,2025-04-25,-2.723981314592514,-0.9895986188132472,0.34004302594605856,0.7170352665691606,20,-0.05533895701871756,time
TCS,LONG_PAIR,2025-09-18,2025-10-17,-2.0157467638483513,-1.4936210103556442,0.3348180528247018,0.8573710160688754,20,-0.06781494964802184,time
TCS,SHORT_PAIR,2025-12-17,2025-12-31,2.025024247520703,0.2086523906139373,0.17149083832636466,0.8048739987419605,9,0.005671065573868437,mean_revert
TCS,LONG_PAIR,2026-05-13,2026-06-02,-2.377780864471704,0.8409385961869816,0.11136770916719627,0.8509100335637005,13,0.09086166507354296,mean_revert
HDFCBANK,LONG_PAIR,2021-11-09,2021-11-29,-2.1839577305268283,-0.48661431952873,0.03247166340361411,0.855476034648364,13,-0.043376211655617745,mean_revert
HDFCBANK,LONG_PAIR,2022-01-13,2022-01-21,-2.655072591789566,-0.16654271419662844,0.05457485927695147,0.8472190723900199,6,-0.0022734344538996925,mean_revert
HDFCBANK,LONG_PAIR,2022-03-02,2022-03-14,-2.832407713832669,-0.008967325725071843,0.035447453770336465,0.8243878768491133,8,0.049133372248316425,mean_revert
HDFCBANK,SHORT_PAIR,2022-04-04,2022-04-07,3.550929173593336,0.012199558062813674,0.045118442775766175,0.8823613634899032,3,0.08349616049595257,mean_revert
HDFCBANK,LONG_PAIR,2022-04-18,2022-05-10,-2.530408820567121,0.024663173048704926,0.050096251297397684,0.8710072414332393,15,-0.03626028127673549,mean_revert
HDFCBANK,LONG_PAIR,2022-10-21,2022-11-02,-2.27856871575477,-0.4690700720802215,0.04830459683436586,0.9230987427943348,7,0.051158955217848974,mean_revert
HDFCBANK,SHORT_PAIR,2022-11-11,2022-11-28,3.4858865341144423,-0.30245183168859974,0.04906755085266819,0.9063656071389232,11,0.007335094795884561,mean_revert
HDFCBANK,SHORT_PAIR,2022-12-16,2023-01-13,2.2732390254180848,1.0910420097074731,0.06607954646557798,0.9422526804526544,20,0.022655504711566594,time
HDFCBANK,SHORT_PAIR,2023-04-06,2023-04-28,2.1386370487288686,-0.013372060993292901,0.03667927106835633,0.7598537343256458,14,-0.011781623041918479,mean_revert
HDFCBANK,LONG_PAIR,2023-05-05,2023-05-18,-3.226221115579975,-0.42242879390299887,0.054855708933044874,0.9026964252640282,9,0.02332221028562722,mean_revert
HDFCBANK,LONG_PAIR,2023-05-26,2023-06-21,-2.040411446254382,0.06472152249874685,0.035302451986652834,0.7758414361922559,18,0.011571802460007032,mean_revert
HDFCBANK,SHORT_PAIR,2023-12-21,2023-12-28,2.387532401405496,0.18578282629005452,0.04006934330208077,0.9763208159223398,4,-0.010010682107075088,mean_revert
HDFCBANK,LONG_PAIR,2024-01-09,2024-01-12,-2.3433471943348354,-3.8346142177531153,0.04088695485699845,0.9876400416692227,3,-0.006298356630337663,stop
HDFCBANK,LONG_PAIR,2024-01-15,2024-01-17,-2.575463820513418,-5.315765477835251,0.03892108042334625,0.9784597515289671,2,-0.07995679383684398,stop
HDFCBANK,LONG_PAIR,2024-01-18,2024-01-19,-5.1022119626561535,-4.5918765034840545,0.036323105223077634,0.9191435008037947,1,-0.010700770124412836,stop
HDFCBANK,LONG_PAIR,2024-01-23,2024-02-21,-4.102367849198755,-0.9152363709312433,0.034159939801094746,0.8240419801697343,20,0.006954265465649093,time
