date,event,pair,side,ret,pnl,equity,dd
2021-11-17,open,MARUTI_MM,SHORT_Y,0.0067328429522017785,0.0,400000.0,0.0
2021-11-17,open,RELIANCE_ONGC,LONG_Y,0.044226035263230934,0.0,400000.0,0.0
2021-11-24,close,MARUTI_MM,SHORT_Y,0.0067328429522017785,673.2842952201779,400673.28429522016,0.0
2021-12-02,close,RELIANCE_ONGC,LONG_Y,0.044226035263230934,4422.603526323093,405095.88782154326,0.0
2021-12-24,open,Nifty_FinNifty,LONG_Y,0.019575725415778955,0.0,405095.88782154326,0.0
2022-01-05,open,TCS_INFY,SHORT_Y,-0.0026601351675820673,0.0,405095.88782154326,0.0
2022-01-07,close,Nifty_FinNifty,LONG_Y,0.019575725415778955,1982.5114667639311,407078.3992883072,0.0
2022-01-13,open,Nifty_FinNifty,LONG_Y,0.0035591106107313586,0.0,407078.3992883072,0.0
2022-01-17,open,Nifty_BankNifty,LONG_Y,0.01540702201704039,0.0,407078.3992883072,0.0
2022-01-19,close,TCS_INFY,SHORT_Y,-0.0026601351675820673,-269.4024543592418,406808.99683394795,-0.0006617950125337169
2022-01-21,close,Nifty_FinNifty,LONG_Y,0.0035591106107313586,362.2092625766377,407171.2060965246,0.0
2022-01-20,close,Nifty_BankNifty,LONG_Y,0.01540702201704039,1567.966465124127,408739.1725616487,0.0
2022-01-21,open,TCS_INFY,SHORT_Y,-0.0190317352351565,0.0,408739.1725616487,0.0
2022-01-27,open,Nifty_BankNifty,SHORT_Y,0.0014125187006274742,0.0,408739.1725616487,0.0
2022-02-07,close,TCS_INFY,SHORT_Y,-0.0190317352351565,-1944.7539281075606,406794.41863354115,-0.004757933808789083
2022-02-10,close,Nifty_BankNifty,SHORT_Y,0.0014125187006274742,144.33793123058226,406938.75656477176,-0.004404804133632201
2022-02-14,open,SBI_AXIS,LONG_Y,0.0027917694998635945,0.0,406938.75656477176,-0.004404804133632201
2022-02-24,open,HDFC_KOTAK,LONG_Y,-0.028516101866933236,0.0,406938.75656477176,-0.004404804133632201
2022-02-28,close,SBI_AXIS,LONG_Y,0.0027917694998635945,284.0198022224865,407222.77636699425,-0.00370993605812453
2022-03-02,close,HDFC_KOTAK,LONG_Y,-0.028516101866933236,-2901.076758951044,404321.6996080432,-0.010807559564013247
2022-03-02,open,RELIANCE_BPCL,SHORT_Y,0.03652850462576615,0.0,404321.6996080432,-0.010807559564013247
