entry,exit,side,hold,reason,pret,o2o
2022-01-17,2022-01-20,1,3,tp,0.02541879364879794,0.02054269602272052
2022-01-27,2022-02-10,-1,10,time,0.0024180518127003593,0.001883358267503299
2022-05-26,2022-06-03,-1,6,tp,0.02366243769093419,0.020478791235074567
2022-07-07,2022-07-21,-1,10,time,-0.007690643104712045,-0.007396244626223458
2022-07-22,2022-07-29,-1,5,tp,0.006655349402172727,0.005764044691844994
2022-09-14,2022-09-16,-1,2,stop,-0.012622663074006883,-0.011085245556831214
2022-09-19,2022-10-03,-1,10,time,0.02665107069690137,0.028576704510777207
2022-12-12,2022-12-26,-1,10,time,-0.0032605405738495748,-0.001410808908952177
2022-12-29,2023-01-12,-1,10,time,0.009809043542119786,0.008746761057215946
2023-01-27,2023-02-06,1,6,tp,0.015603438802956513,0.016410582101803683
2023-02-20,2023-02-27,1,5,tp,0.02039050708347847,0.01562934080414935
2023-04-17,2023-05-02,-1,10,time,0.004670341039179175,-0.0008861605808017092
2023-06-15,2023-06-30,1,10,time,0.0017274301841391677,0.0032042814562738275
2023-07-21,2023-07-28,-1,5,tp,0.008085789407649358,0.008164879356726495
2023-08-11,2023-08-28,1,10,tp,0.012899372751358693,0.012979083867649122
2023-10-18,2023-11-02,1,10,time,0.01130853849130815,0.00748507436289747
2023-11-17,2023-12-04,1,10,tp,0.014317027179908147,0.016933490560299802
2024-01-09,2024-01-17,1,6,stop,-0.026340725088834196,-0.02619713656758549
2024-01-18,2024-02-05,1,10,time,-0.015543489413785673,-0.011968263387353462
2024-02-06,2024-02-20,1,10,tp,0.017374152662023898,0.01851465764225857
2024-04-29,2024-05-14,-1,10,time,0.011630273317788074,0.012863094183294566
2024-06-25,2024-06-28,-1,3,tp,0.01994537535162952,0.017209427129556643
2024-07-24,2024-08-07,1,10,time,-0.017513067853726475,-0.018593620847089598
2024-10-18,2024-11-01,-1,10,time,-0.012579533289006548,-0.014049074405765416
2024-11-05,2024-11-13,-1,6,tp,0.009558230564870884,0.01356601399588131
2024-12-04,2024-12-18,-1,10,time,0.010000964154174473,0.010186297196703276
2025-01-10,2025-01-16,1,4,tp,0.016360995688992887,0.016282380182077283
2025-02-12,2025-02-27,-1,10,time,-0.006202257065136569,-0.006837332512255823
2025-02-28,2025-03-07,-1,5,tp,0.016040932331279577,0.016175239168403577
2025-03-24,2025-04-08,-1,10,time,-0.02347312000814932,-0.024354666475367992
2025-04-21,2025-05-05,-1,9,tp,0.020086984151502126,0.02087200588765581
2025-07-24,2025-08-04,-1,7,tp,0.013815335840155884,0.011810960956560423
2025-08-20,2025-09-04,1,10,time,-0.01781861579590333,-0.016515464083348697
2025-09-05,2025-09-19,1,10,time,0.002060709777010547,0.0011543287588393625
2026-01-08,2026-01-23,-1,10,time,-0.006556452985291856,-0.011675882367809476
2026-05-04,2026-05-18,1,10,time,-0.00028259732347772626,-0.0049853259983142495
2026-06-09,2026-06-23,-1,10,time,-0.003702873371555518,-0.01099996173491058
2026-06-24,2026-07-09,-1,10,time,0.012185613006411005,0.01299119051164499
