entry,exit,side,entry_z,exit_z,hold,reason,corr,half_life,ret_beta,pair_ret_beta,pair_ret_1to1,r_bn,r_nf
2022-01-27,2022-02-17,SHORT_BN,2.8604172441142657,0.7675811845162331,15,time,0.8607019324739547,9.948502972521345,1.0184561254590805,0.023433949682446678,0.02322420405808112,-0.01185965060234151,0.011364553455739612
2022-05-26,2022-06-03,SHORT_BN,2.2672846087325884,0.48939719251746094,6,take_profit,0.9475902015439206,2.5771441090317113,1.1243027729712898,0.02366243769093419,0.020478791235074567,0.005133239613142715,0.025612030848217282
2022-07-07,2022-07-28,SHORT_BN,2.1235613761547114,1.2818038032689685,15,time,0.9750671739616766,2.0288534182483566,0.9899449449425981,-0.021497574211227964,-0.02100102031733697,0.07038452851856358,0.04938350820122661
2022-09-14,2022-10-06,SHORT_BN,2.6203312074384475,0.948207301749279,15,time,0.9862274676030127,7.969586705790075,1.0585308897467174,0.011755322941533475,0.013939855921498712,-0.0512625925041551,-0.03732273658265639
2022-12-12,2023-01-02,SHORT_BN,2.0333569846875905,1.8234089740629142,15,time,0.9756651846858173,3.726170614729916,1.0709039672452263,-0.0057942825202140745,-0.004645456802456427,-0.01155710226993445,-0.016202559072390876
2023-04-17,2023-05-05,SHORT_BN,2.7644148166286624,0.16411401475032356,13,take_profit,0.9189349516783801,4.959858868109198,1.223203185484939,0.015584971706111433,0.01101989533197667,0.009432663910027506,0.020452559242004176
2023-07-21,2023-07-28,SHORT_BN,2.0731191139374694,0.15399190804123536,5,take_profit,0.9154593348486291,3.1707562687649373,1.0157821462792307,0.008085789407649358,0.008164879356726495,-0.013176235079694343,-0.005011355722967847
2023-08-11,2023-08-28,LONG_BN,-2.3687117111055573,-0.43763355851271907,10,take_profit,0.8876145568160377,5.591098829656321,0.9873320937186123,0.012899372751358693,0.012979083867649122,0.006686716800839987,-0.006292367066809135
2024-01-09,2024-02-01,LONG_BN,-2.042160704494476,-1.4194808571407502,15,time,0.9853350393582281,4.182520214943064,1.1141563722608467,-0.030201786720907463,-0.029393230702624007,-0.02231034954347233,0.007082881159151677
2024-04-29,2024-05-16,SHORT_BN,2.3020148690799047,0.023963839737721454,12,take_profit,0.9379584645336547,1.6662374092411312,1.065597944352453,0.018003989409123004,0.018697968164386736,-0.029277244117532963,-0.010579275953146228
2024-06-25,2024-06-28,SHORT_BN,2.2226195730360994,0.062387528520266064,3,take_profit,0.9256797053878971,4.250077482518721,1.2243363760522206,0.01994537535162952,0.017209427129556643,-0.0050136866517127565,0.012195740477843886
2024-07-24,2024-08-14,LONG_BN,-2.062167057509816,-1.6944224947067223,15,time,0.9473124382439259,4.304222457784143,1.2274144870988866,-0.017416057203711498,-0.01992880866888136,-0.03097802324278509,-0.011049214573903732
2024-10-18,2024-11-08,SHORT_BN,2.254563582872974,1.196921084757346,15,time,0.932711954433624,3.5229188153608897,0.9335565368789769,-0.016281409484407434,-0.01816839453463781,-0.01023146546051834,-0.02839985999515615
2025-01-10,2025-01-16,LONG_BN,-2.2769287202721293,-0.3412378552898928,4,take_profit,0.8008338658243437,6.457541290420636,1.015389233693666,0.016360995688992887,0.016282380182077283,0.011173905745955004,-0.005108474436122279
2025-02-12,2025-03-06,SHORT_BN,2.1116626235531752,0.7454202071021849,15,time,0.9679468999980385,2.013266554130452,0.9707407131016736,-0.0038706057337889004,-0.004506127540485516,-0.01721421748723173,-0.021720345027717247
2025-03-24,2025-04-17,SHORT_BN,2.6588680084973553,2.7261770218160595,15,time,0.8204708386841677,6.886557641483679,0.9814201028789589,-0.04198134637587307,-0.041829539141288175,0.05000004910675937,0.008170509965471195
2025-07-24,2025-08-04,SHORT_BN,2.0668506370146713,0.0765492309069771,7,take_profit,0.9106489698177641,4.007583910291354,0.8519702348273882,0.013815335840155884,0.011810960956560423,-0.025351311312843405,-0.013540350356282982
2025-08-20,2025-09-11,LONG_BN,-2.537155348929793,-1.9390610851608385,15,time,0.9152016460856095,3.630587513534625,0.8967757528821415,-0.016859884881618183,-0.016674246928296887,-0.018472641767731668,-0.0017983948394347804
2026-01-08,2026-02-02,SHORT_BN,2.6119906967569393,-0.2097832145093138,15,take_profit,0.8752733829680445,7.747358349614349,0.8400448814511469,-0.007710454177450206,-0.012584172970839025,-0.017885116399855905,-0.03046928937069493
2026-05-04,2026-05-25,LONG_BN,-2.180694777184533,-0.763206865584734,15,time,0.9809121597785666,6.761253302712081,1.2416664531738748,0.01207461093229081,0.011196875748594182,0.007564864883333078,-0.003632010865261104
2026-06-09,2026-07-01,SHORT_BN,3.044135720230109,1.765717361784473,15,time,0.9184351438115202,7.048621994094228,1.2914083412362711,-0.008991655883227846,-0.018567517116067078,0.05142814558062847,0.03286062846456139
