pair,kind,ysym,xsym,z,corr,log_beta,ret_beta,corr_ok,signal,side,y_last,x_last,recipe
Nifty_BankNifty,index,^NSEBANK,^NSEI,-0.8832757987607517,0.7804497391527212,1.4148108058714146,1.1898311619461353,True,FLAT,,57686.94921875,24583.80078125,—
Nifty_FinNifty,index,NIFTY_FIN_SERVICE.NS,^NSEI,0.3741138808212802,0.8725216741578903,1.568560894673365,1.2262986155026185,True,FLAT,,26903.349609375,24334.30078125,—
ICICI_SBI,stock,ICICIBANK.NS,SBIN.NS,-0.503342814153992,0.8485016878509329,1.3886238418539774,0.47135972783353675,True,FLAT,,1431.800048828125,1071.0,—
HDFC_KOTAK,stock,HDFCBANK.NS,KOTAKBANK.NS,-1.226533134232392,0.053192425250244146,0.09354015988986074,0.34915431793781626,False,CORR_FAIL,,731.0,393.5,—
SBI_AXIS,stock,SBIN.NS,AXISBANK.NS,1.8267183686399473,0.24013576478710325,0.22364579332079973,0.2523251281091722,False,CORR_FAIL,,1071.0,1247.300048828125,—
TCS_INFY,stock,TCS.NS,INFY.NS,1.0069692940551587,0.7273057844548672,0.8238396354139649,0.8505652908927134,True,FLAT,,2425.699951171875,1183.0,—
RELIANCE_ONGC,stock,RELIANCE.NS,ONGC.NS,1.2737016596747892,0.43203191938604596,0.12076805711176457,-0.0038360936894720936,False,CORR_FAIL,,1327.300048828125,239.83999633789062,—
RELIANCE_BPCL,stock,RELIANCE.NS,BPCL.NS,0.709989282770306,0.13152717746500256,0.0756690112940066,0.38769169643708923,False,CORR_FAIL,,1327.300048828125,318.5,—
MARUTI_MM,stock,MARUTI.NS,M&M.NS,-0.7421393405436157,0.7109107093748794,0.5427779772396568,0.5347384227681038,True,FLAT,,14097.0,3517.0,—
SUN_CIPLA,stock,SUNPHARMA.NS,CIPLA.NS,-0.045690037819978276,0.7307734685325364,1.0407438001809108,0.2590469423118206,True,FLAT,,1944.4000244140625,1467.699951171875,—
