symbol,trades,win_rate,avg_ret,total_ret_sum
M&M,24,0.75,0.023399776802828787,0.5615946432678909
JSWSTEEL,20,0.6,0.02114396355158428,0.4228792710316856
EICHERMOT,11,0.7272727272727273,0.019483056792806697,0.21431362472087367
WIPRO,15,0.6,0.014033884385858177,0.21050826578787266
GRASIM,28,0.5,0.007460394254961622,0.2088910391389254
MARUTI,19,0.6842105263157895,0.009800477622237142,0.1862090748225057
BHARTIARTL,34,0.6764705882352942,0.004988200886341055,0.16959883013559587
DRREDDY,9,0.7777777777777778,0.01465849009341436,0.13192641084072923
BRITANNIA,18,0.6111111111111112,0.006148359426645157,0.11067046967961282
ULTRACEMCO,20,0.7,0.003496206752536581,0.06992413505073163
KOTAKBANK,16,0.625,0.002600322872827931,0.041605165965246896
TRENT,26,0.5,0.0015877436525570628,0.04128133496648363
ITC,15,0.5333333333333333,0.002732731977706852,0.04099097966560278
BAJAJ-AUTO,20,0.55,0.001928383575326677,0.03856767150653354
ICICIBANK,23,0.6086956521739131,0.0016276223344653673,0.03743531369270345
HEROMOTOCO,14,0.5714285714285714,0.002599719154441421,0.03639606816217989
HINDUNILVR,10,0.5,0.0030741064796926156,0.030741064796926156
LT,19,0.5263157894736842,0.0014298931143238648,0.02716796917215343
HINDALCO,20,0.45,0.0012809056876273875,0.02561811375254775
BAJAJFINSV,25,0.68,0.0008214940451661229,0.020537351129153072
POWERGRID,17,0.6470588235294118,0.0005519980197327631,0.009383966335456973
SBIN,21,0.5238095238095238,-0.00023114625802207628,-0.004854071418463602
HDFCLIFE,14,0.5,-0.0008790651613105104,-0.012306912258347145
BPCL,18,0.4444444444444444,-0.0013014172163782042,-0.023425509894807676
SBILIFE,16,0.5,-0.0019384827369913638,-0.03101572379186182
INDUSINDBK,23,0.5217391304347826,-0.0017155250285380615,-0.039457075656375414
TITAN,18,0.5,-0.002554646439839967,-0.0459836359171194
HDFCBANK,26,0.5384615384615384,-0.002054801379260077,-0.05342483586076201
HCLTECH,13,0.6153846153846154,-0.004262696539828714,-0.05541505501777328
TECHM,24,0.5416666666666666,-0.002425983323925384,-0.05822359977420921
TATASTEEL,21,0.47619047619047616,-0.002956703684087374,-0.06209077736583486
APOLLOHOSP,16,0.4375,-0.0042697387883483305,-0.06831582061357329
TCS,19,0.5789473684210527,-0.0036756071078874186,-0.06983653504986095
BAJFINANCE,23,0.5217391304347826,-0.0039838016343631865,-0.09162743759035329
CIPLA,17,0.5882352941176471,-0.005984228184312748,-0.10173187913331672
NTPC,17,0.5294117647058824,-0.006554192781668076,-0.1114212772883573
AXISBANK,22,0.45454545454545453,-0.005628483013102468,-0.1238266262882543
NESTLEIND,14,0.42857142857142855,-0.01166677676663543,-0.16333487473289604
INFY,21,0.38095238095238093,-0.008272973370870114,-0.17373244078827238
RELIANCE,30,0.43333333333333335,-0.005813433897717371,-0.17440301693152113
SUNPHARMA,12,0.5,-0.01563445668929077,-0.18761348027148927
ADANIPORTS,32,0.53125,-0.006260969797144741,-0.2003510335086317
ASIANPAINT,20,0.4,-0.01193061931747306,-0.2386123863494612
TATACONSUM,21,0.47619047619047616,-0.011999643493907692,-0.2519925133720615
COALINDIA,12,0.3333333333333333,-0.025480550422453414,-0.305766605069441
ONGC,16,0.5,-0.019272459329075366,-0.30835934926520586
BEL,19,0.5263157894736842,-0.016852408789527748,-0.3201957670010272
ADANIENT,11,0.45454545454545453,-0.049085804234918,-0.539943846584098
