symbol,corr,beta,z,half_life,spread_pct,corr_ok,hl_ok,filters_ok,signal,action,tp_z,stop_z,max_hold,last_price
BHARTIARTL,0.8320023347970638,0.12217493930491449,-0.5668003640317906,1.7813687480567515,38.333333333333336,True,True,True,FLAT,Filters PASS — wait for Z ≤ -2,0.5,4.0,15,1915.199951171875
BPCL,0.8868551323081162,0.02510562324431013,-0.4112542365011762,1.5759743090050704,25.0,True,True,True,FLAT,Filters PASS — wait for Z ≤ -2,0.5,4.0,15,317.79998779296875
ULTRACEMCO,0.8620283319725855,0.865836384316528,-0.08024907226830752,3.317109776952457,50.0,True,True,True,FLAT,Filters PASS — wait for Z ≤ -2,0.5,4.0,15,11780.0
ICICIBANK,0.8161912425259569,0.159178660472848,-0.05016038729071737,5.371875632866676,45.0,True,True,True,FLAT,Filters PASS — wait for Z ≤ -2,0.5,4.0,15,1429.5999755859375
MARUTI,0.8163797791939031,0.9557039394865671,0.15561207269195002,2.2356459480699855,63.33333333333333,True,True,True,FLAT,Filters PASS — wait for Z ≤ -2,0.5,4.0,15,13990.0
BAJFINANCE,0.9017339698472279,0.18654623046401575,0.27576764981361856,2.093093886458113,61.66666666666667,True,True,True,FLAT,Filters PASS — wait for Z ≤ -2,0.5,4.0,15,1093.300048828125
BAJAJFINSV,0.8677129431040193,0.24781608540135308,1.2668846981964854,3.029255132260269,88.33333333333333,True,True,True,FLAT,Filters PASS — wait for Z ≤ -2,0.5,4.0,15,2032.0
TITAN,0.8208844452363885,0.6555554765623748,1.9346000064666664,4.8816957927338045,96.66666666666667,True,True,True,FLAT,Filters PASS — wait for Z ≤ -2,0.5,4.0,15,5128.0
M&M,0.8501540611946375,0.31926282417176,2.090160467657082,3.83262566868027,96.66666666666667,True,True,True,SKIP SHORT,Short blocked (LONG-only playbook),0.5,4.0,15,3460.10009765625
POWERGRID,-0.44100099753854805,-0.007203262425353429,-2.599168339204679,3.4331561419648957,1.6666666666666667,False,True,False,CORR FAIL,Skip — correlation weak,0.5,4.0,15,267.95001220703125
ADANIPORTS,-0.31467603232400054,-0.04099709353905652,-2.0868746495296437,5.412184517675802,3.3333333333333335,False,True,False,CORR FAIL,Skip — correlation weak,0.5,4.0,15,1668.199951171875
HINDUNILVR,0.043864752945826306,0.005004297523700649,-1.7125795093987002,1.828549256670581,5.0,False,True,False,CORR FAIL,Skip — correlation weak,0.5,4.0,15,2064.89990234375
HDFCBANK,0.31928325363903276,0.02536276115704145,-1.7032671892862938,35.74498350108631,5.0,False,False,False,CORR FAIL,Skip — correlation weak,0.5,4.0,15,729.0
AXISBANK,0.0008611622540820677,0.00010770497079733416,-1.3124539999905416,9.997965675144918,11.666666666666666,False,False,False,CORR FAIL,Skip — correlation weak,0.5,4.0,15,1229.800048828125
HDFCLIFE,-0.3333155844508977,-0.018476439079010965,-1.2510472567054436,5.393109335272335,6.666666666666667,False,True,False,CORR FAIL,Skip — correlation weak,0.5,4.0,15,536.0
ITC,0.02690009324273851,0.00042128914066496436,-1.23350010416734,4.280424773763313,6.666666666666667,False,True,False,CORR FAIL,Skip — correlation weak,0.5,4.0,15,279.0
ADANIENT,0.5033637987069025,0.16120832829362822,-0.8809150382199953,4.876603250463671,13.333333333333334,False,True,False,CORR FAIL,Skip — correlation weak,0.5,4.0,15,2995.5
NTPC,-0.46809041981984817,-0.018577144563631708,-0.7728509464411464,5.688241737146589,23.333333333333332,False,True,False,CORR FAIL,Skip — correlation weak,0.5,4.0,15,338.45001220703125
TATACONSUM,-0.4053887545012454,-0.03737370255500825,-0.666087014340383,2.480440133397444,26.666666666666668,False,True,False,CORR FAIL,Skip — correlation weak,0.5,4.0,15,1078.0
APOLLOHOSP,0.7141257545943134,0.5265024113676721,-0.6419722179461159,2.84196177464198,28.333333333333332,False,True,False,CORR FAIL,Skip — correlation weak,0.5,4.0,15,8750.5
TRENT,0.5836957303869919,0.26716067340525784,-0.6232212138459337,4.447876813952019,35.0,False,True,False,CORR FAIL,Skip — correlation weak,0.5,4.0,15,3000.0
COALINDIA,-0.7637298747629028,-0.03412766145834492,-0.4913622697876459,2.352881452405792,30.0,False,True,False,CORR FAIL,Skip — correlation weak,0.5,4.0,15,412.6000061035156
SBILIFE,0.5052250410653439,0.06406953457429268,-0.39586103175031795,5.511530199039131,38.333333333333336,False,True,False,CORR FAIL,Skip — correlation weak,0.5,4.0,15,1837.5999755859375
DRREDDY,-0.35567652104895453,-0.059365069816757765,-0.35451588693543595,10.457739949082479,41.66666666666667,False,False,False,CORR FAIL,Skip — correlation weak,0.5,4.0,15,1205.0
INDUSINDBK,0.768316459099665,0.10488283051378626,-0.1527318794762506,5.262349891509868,45.0,False,True,False,CORR FAIL,Skip — correlation weak,0.5,4.0,15,1008.9000244140625
SUNPHARMA,0.7377346969973954,0.12744344569229085,-0.11032108507969078,3.8394475865363376,56.666666666666664,False,True,False,CORR FAIL,Skip — correlation weak,0.5,4.0,15,1942.0
ONGC,-0.5269575896171396,-0.023290384253738233,-0.1060718576366074,6.04509555885939,56.666666666666664,False,True,False,CORR FAIL,Skip — correlation weak,0.5,4.0,15,239.4499969482422
TATASTEEL,-0.5421663753795888,-0.010716495770447093,-0.04881860856428631,3.7961809795978905,48.333333333333336,False,True,False,CORR FAIL,Skip — correlation weak,0.5,4.0,15,188.25
BEL,-0.26736959329851834,-0.006989426502925026,-0.048006559495881077,3.0364393333233615,53.333333333333336,False,True,False,CORR FAIL,Skip — correlation weak,0.5,4.0,15,405.8500061035156
KOTAKBANK,0.3403281647525889,0.00816770514014612,-0.00392153215674522,4.287098850190116,63.33333333333333,False,True,False,CORR FAIL,Skip — correlation weak,0.5,4.0,15,392.8999938964844
ASIANPAINT,0.6846651970973722,0.09216087987400533,0.14695407484329168,3.2914338986254967,51.66666666666667,False,True,False,CORR FAIL,Skip — correlation weak,0.5,4.0,15,2735.5
LT,0.20419806344061736,0.06639450513552074,0.15659798012342746,10.731964150830503,56.666666666666664,False,False,False,CORR FAIL,Skip — correlation weak,0.5,4.0,15,4037.39990234375
CIPLA,0.7225937681346877,0.06670001657167121,0.376546914677708,2.5774404890270763,63.33333333333333,False,True,False,CORR FAIL,Skip — correlation weak,0.5,4.0,15,1463.0
RELIANCE,0.26852077654580625,0.016387173525246487,0.389511309980198,3.10466379161842,65.0,False,True,False,CORR FAIL,Skip — correlation weak,0.5,4.0,15,1323.9000244140625
NESTLEIND,0.7151169263362959,0.0861125566213787,0.44435666433729415,2.5580306361884957,63.33333333333333,False,True,False,CORR FAIL,Skip — correlation weak,0.5,4.0,15,1493.199951171875
WIPRO,-0.2757499759669741,-0.0075809078915068774,0.5537142088917364,8.941014822521849,66.66666666666666,False,False,False,CORR FAIL,Skip — correlation weak,0.5,4.0,15,184.60000610351562
SBIN,0.7470468678454999,0.06917283628048522,0.6364635872584237,4.470954736554753,73.33333333333333,False,True,False,CORR FAIL,Skip — correlation weak,0.5,4.0,15,1066.0
JSWSTEEL,0.020383034931996048,0.0014797353077062995,0.6548574310268407,4.994473810866616,73.33333333333333,False,True,False,CORR FAIL,Skip — correlation weak,0.5,4.0,15,1283.4000244140625
TECHM,0.5244343809492561,0.1283380262559067,1.1778975610805387,9.031092322212674,88.33333333333333,False,False,False,CORR FAIL,Skip — correlation weak,0.5,4.0,15,1643.0
HINDALCO,-0.4479868058848207,-0.07075068439027694,1.313089457106164,9.518766380694036,81.66666666666667,False,False,False,CORR FAIL,Skip — correlation weak,0.5,4.0,15,1049.0999755859375
EICHERMOT,0.779666111105601,0.6625086741118553,1.341148576970964,5.159894464061697,93.33333333333333,False,True,False,CORR FAIL,Skip — correlation weak,0.5,4.0,15,8000.0
TCS,0.3272321457540862,0.10763683184920188,1.387457875788893,9.661315182837617,93.33333333333333,False,False,False,CORR FAIL,Skip — correlation weak,0.5,4.0,15,2445.699951171875
HCLTECH,0.54925870963609,0.12759758347026104,1.484921008025508,15.059687298075577,95.0,False,False,False,CORR FAIL,Skip — correlation weak,0.5,4.0,15,1365.4000244140625
INFY,-0.12974679170669035,-0.018586737965075706,1.5492873368797395,6.405210803229632,98.33333333333333,False,True,False,CORR FAIL,Skip — correlation weak,0.5,4.0,15,1190.699951171875
BAJAJ-AUTO,0.503274080041017,0.7896910513762134,1.5560001759088693,13.80528942808879,96.66666666666667,False,False,False,CORR FAIL,Skip — correlation weak,0.5,4.0,15,11717.0
BRITANNIA,0.7992139153713737,0.31514735987470993,2.104149182961174,4.1414614928371325,100.0,False,True,False,CORR FAIL,Skip — correlation weak,0.5,4.0,15,5598.0
GRASIM,0.6364222959150021,0.12350432627741527,2.2483626368074474,1.8563873943856466,98.33333333333333,False,True,False,CORR FAIL,Skip — correlation weak,0.5,4.0,15,3322.199951171875
HEROMOTOCO,0.6695063740317365,0.4847292878555383,3.020513249255322,142.8291129799439,100.0,False,False,False,CORR FAIL,Skip — correlation weak,0.5,4.0,15,5865.5
