side,hold,ret,reason,entry_z,symbol
SHORT,3,-0.02144923513193046,cut_wrong,2.1885887631681133,RELIANCE
LONG,4,0.04012598803942396,time,-2.3109720692437556,RELIANCE
LONG,2,-0.020968036342664875,cut_wrong,-2.199675876863205,RELIANCE
SHORT,3,0.06378993509516284,mean_revert,2.7851102561442977,RELIANCE
SHORT,2,-0.019853337192499224,cut_wrong,2.0328084619120514,RELIANCE
SHORT,2,-0.022545105082496325,cut_wrong,2.8417392844852523,RELIANCE
LONG,2,-0.018460720642378893,cut_wrong,-2.501191165094613,RELIANCE
LONG,4,0.039967669177483865,time,-2.7030249070366947,RELIANCE
LONG,4,0.036404080870732776,time,-2.0170363819403643,RELIANCE
LONG,4,0.0010396296502388899,time,-2.0239813839755785,RELIANCE
LONG,2,-0.011442284455641603,cut_wrong,-2.408315586699074,RELIANCE
LONG,2,-0.008025049042597774,cut_wrong,-2.2957255458330743,RELIANCE
LONG,2,-0.008906877966229548,cut_wrong,-2.510514874479451,RELIANCE
LONG,4,0.017690898478909808,time,-2.1050602380890755,RELIANCE
LONG,3,0.045751218688210145,mean_revert,-2.246285952399524,RELIANCE
SHORT,1,-0.010530053806554937,stop,4.365767405930669,RELIANCE
SHORT,3,-0.009122358808808826,cut_wrong,3.5610750626758274,RELIANCE
SHORT,4,0.018536618381685556,time,2.435840798546126,RELIANCE
LONG,4,0.0060774270401741624,time,-2.0132319856587486,RELIANCE
LONG,4,0.013814963735703366,time,-2.047626733369164,RELIANCE
SHORT,2,-0.0021673489400808052,cut_wrong,2.3555828332566837,RELIANCE
SHORT,2,-0.007779512799211886,cut_wrong,2.152619035814722,RELIANCE
SHORT,1,-0.026225290429437203,stop,2.6822763533836738,RELIANCE
SHORT,2,-0.0024638087952320183,cut_wrong,3.2237365789188486,RELIANCE
SHORT,2,-0.0041636802562789515,cut_wrong,2.7198466231324177,RELIANCE
SHORT,1,-0.06897157107806412,stop,2.11966519005645,RELIANCE
SHORT,2,-0.01292555011551329,cut_wrong,2.730479787531145,RELIANCE
SHORT,4,0.0046898817596387815,time,2.620919301132647,RELIANCE
SHORT,2,-0.0031502370715858472,cut_wrong,2.0942268111571822,RELIANCE
SHORT,4,0.003015101146499896,time,2.149311839082503,RELIANCE
LONG,2,-0.0030554504414860104,cut_wrong,-2.706392359401521,RELIANCE
LONG,4,0.0073258765611991464,time,-2.1071056327280004,RELIANCE
LONG,2,-0.013183994836517898,cut_wrong,-2.390902238413475,RELIANCE
LONG,3,-0.013056168833846792,cut_wrong,-2.900158354212932,RELIANCE
SHORT,1,-0.022556954172905333,stop,2.8105012274378796,RELIANCE
SHORT,2,-0.01837476104988735,cut_wrong,3.169179489376969,RELIANCE
SHORT,4,-0.009237028802538377,cut_wrong,2.3339785047620256,RELIANCE
LONG,2,-0.0033108870114170533,cut_wrong,-2.2177516573663776,RELIANCE
LONG,2,-0.009444353981163608,cut_wrong,-2.796069824128663,RELIANCE
LONG,4,0.019939873046396325,time,-2.0756766366640416,RELIANCE
LONG,4,0.018978156288545073,time,-2.2844780146649106,RELIANCE
LONG,2,-0.004509032855459274,cut_wrong,-2.239120597866428,RELIANCE
SHORT,2,-0.013362243123415631,cut_wrong,2.2825405535909735,RELIANCE
SHORT,3,-0.007102519883537569,cut_wrong,2.134983946574679,RELIANCE
SHORT,2,-0.013921762297130335,cut_wrong,2.0349006899105277,RELIANCE
LONG,2,-0.0038555715785077893,mean_revert,-2.0772957303960307,RELIANCE
LONG,4,0.016109471510578316,time,-2.052162638177745,RELIANCE
LONG,2,-0.005704648982243108,cut_wrong,-2.2806177493792705,RELIANCE
SHORT,2,-0.044659872284985,cut_wrong,2.2136705847064766,RELIANCE
SHORT,4,0.026181039298110716,time,3.426903496386146,RELIANCE
SHORT,3,0.007663549979714938,mean_revert,2.5684549022094583,TCS
LONG,2,-0.001576707396805216,cut_wrong,-2.080291069281273,TCS
LONG,3,-0.003542196445683536,cut_wrong,-2.18305689276511,TCS
LONG,4,0.02396627539257876,time,-2.5268353807267547,TCS
LONG,4,-0.02444252486096471,cut_wrong,-2.074783948123478,TCS
LONG,4,0.03596159882631651,time,-2.2394095122904343,TCS
LONG,2,-0.02139545643028295,cut_wrong,-3.556404376598132,TCS
LONG,4,0.04848227451850366,time,-3.1361264549155097,TCS
LONG,2,0.023079709524792536,mean_revert,-2.7449678193479854,TCS
SHORT,2,-0.013126656984465104,cut_wrong,2.7215051489736077,TCS
SHORT,2,-0.01425475603028221,cut_wrong,3.345305584565825,TCS
LONG,2,-0.01585279767990848,cut_wrong,-2.5502826392027402,TCS
LONG,4,0.025750352434167265,time,-2.590395985894204,TCS
LONG,3,0.026102043849593817,mean_revert,-2.3654827847880844,TCS
SHORT,4,0.03298248214493354,mean_revert,2.877590877187161,TCS
SHORT,3,-0.0011231892747935145,cut_wrong,2.1944819512090348,TCS
SHORT,2,-0.021754939576342905,cut_wrong,2.0289712586545066,TCS
SHORT,3,0.01870251056949672,mean_revert,2.3909915582515286,TCS
SHORT,2,-0.02639199515153719,cut_wrong,2.10139518515771,TCS
SHORT,3,-0.003497432853860537,cut_wrong,3.1538589141095748,TCS
